Species,Invertebrates,Vertebrates,Fruits,Nectar,Seeds,Ground,Understory,Midstory,Canopy,BMass,Nhabitats
species120,1,0,3,0,0,0,0,2,2,19,3
species121,1,0,0,3,0,0,2,2,0,4.9,3
species122,3,0,1,0,0,1,3,1,0,21.4,4
species123,2,0,2,0,2,0,2,2,2,17,4
species124,2,0,2,0,2,0,0,0,3,44,3
species125,1,0,2,0,2,0,0,1,3,32,4
species126,0,0,1,0,3,0,2,2,0,13,5
species127,3,0,0,0,0,0,3,0,0,7.4,3
species128,3,0,1,0,0,0,2,2,2,14.8,6
species129,2,0,2,0,2,1,2,2,1,24.3,3
species130,3,0,0,0,0,1,3,0,0,10.9,5
species131,2,0,2,0,0,0,2,2,0,55.5,2
species132,2,0,2,0,0,3,1,1,0,50,1
species133,2,0,2,0,0,1,2,2,2,63.1,4
species134,1,1,3,0,1,3,1,1,1,62,4
species135,2,0,2,0,0,3,1,1,1,72.2,3
species136,3,0,1,0,0,0,2,2,2,39.8,3
species137,3,0,1,0,0,0,1,2,2,17,5
species138,1,0,1,0,3,3,1,0,0,9.5,7
species139,3,0,0,0,0,0,3,0,0,11.9,2
species140,3,1,0,0,0,1,3,1,1,116,3
