gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2634268748	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46779183	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.255812	-78.161628	68218.0						2011-11-21T12:28:00	21	11	2011	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46779183		Andres Laguna	2020-05-21T22:40:08	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T16:13:00.382Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634229763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46651584	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.293161	-78.121101	68218.0						2013-10-13T09:25:00	13	10	2013	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46651584		Andres Laguna	2020-05-20T21:35:07	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T16:13:57.930Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626674279	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46628805	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.288503	-78.094546	68218.0						2015-01-18T09:49:00	18	1	2015	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46628805		Andres Laguna	2020-05-20T18:19:54	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T15:57:20.164Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626629230	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46628849	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.291433	-78.073013	68218.0						2019-05-07T08:51:00	7	5	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46628849		Andres Laguna	2020-05-20T18:20:08	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T15:57:00.386Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626526366	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46628826	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.211041	-78.133302	68218.0						2018-12-19T10:42:00	19	12	2018	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46628826		Andres Laguna	2020-05-20T18:19:59	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T15:56:42.726Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626474168	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46760785	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.28428	-78.036051	54765.0						2015-07-09T09:36:00	9	7	2015	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46760785		Andres Laguna	2020-05-21T19:45:50	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T15:57:19.401Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626471047	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46628812	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.358572	-78.03447	68218.0						2015-01-31T09:30:00	31	1	2015	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46628812		Andres Laguna	2020-05-20T18:19:56	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T15:56:46.276Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626413690	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46628833	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Imbabura	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.391648	-78.031045	68218.0						2019-03-28T01:27:00	28	3	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46628833		Andres Laguna	2020-05-20T18:20:01	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T16:12:32.417Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2626221618	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/45721570	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		CO		Cauca	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	2.333571	-76.248493	31438.0						2019-12-30T11:16:00	30	12	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	45721570		gustavopisso	2020-05-12T21:23:36	CC_BY_NC_4_0	gustavopisso	gustavopisso			2020-11-01T16:13:58.559Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2618705226	29f4379a-6f76-4fef-bad7-bea550af9e16	MZS Mam11343	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque Roulin, 1829		EC			PRESENT		609d49d0-78fe-11dd-b871-b8a03c50a862													2440899	2440899	PRESERVED_SPECIMEN	Musée Zoologique de la ville de Strasbourg	Mammal osteology	MZS Mam11343				CC_BY_4_0		Reiss Wilhelm			2020-10-07T11:04:18.746Z		
2618704305	29f4379a-6f76-4fef-bad7-bea550af9e16	MZS Mam07590	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque Roulin, 1829		EC			PRESENT		609d49d0-78fe-11dd-b871-b8a03c50a862													2440899	2440899	PRESERVED_SPECIMEN	Musée Zoologique de la ville de Strasbourg	Mammal osteology	MZS Mam07590				CC_BY_4_0		Reiss Wilhelm			2020-10-07T11:04:18.693Z		
2609160731	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42415610	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Morona Santiago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-2.272162	-78.440732	31438.0						2015-09-09T09:45:00	9	9	2015	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	42415610		jorgebrito	2020-04-17T19:58:53	CC_BY_NC_4_0	jorgebrito	jorgebrito			2020-11-01T15:56:34.333Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576277102	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34242610	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.594383	-77.808007	31451.0						2019-10-07T22:10:41	7	10	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	34242610		Bert Harris	2019-10-12T12:26:50	CC_BY_NC_4_0	Bert Harris	Bert Harris			2020-11-01T15:56:44.320Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576251015	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36603271	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.597054	-77.948948	31451.0						2014-02-10T23:40:00	10	2	2014	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	36603271		Ryne Rutherford	2019-12-13T02:00:39	CC_BY_NC_4_0	Ryne Rutherford	Ryne Rutherford			2020-11-01T16:12:58.250Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2574288850	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38546474	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.717952	-77.999737	31450.0						2020-02-07T19:52:39	7	2	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	38546474		matt_whitbeck	2020-02-11T20:26:09	CC_BY_NC_4_0	matt_whitbeck	matt_whitbeck			2020-11-01T15:56:54.644Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563584622	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37937053	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.448749	-77.954262	31451.0						2019-12-29T07:03:00	29	12	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	37937053		Howard Friedman	2020-01-25T04:00:16	CC_BY_NC_4_0	Howard Friedman	Howard Friedman			2020-11-01T15:56:28.271Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563528586	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37773042	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.549204	-77.838913	31451.0						2019-12-31T06:40:00	31	12	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	37773042		Howard Friedman	2020-01-20T05:32:49	CC_BY_NC_4_0	Howard Friedman	Howard Friedman			2020-11-01T16:13:41.370Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2563506734	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37720515	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.497163	-77.862301	31451.0						2019-12-31T19:22:00	31	12	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	37720515		Howard Friedman	2020-01-18T21:21:30	CC_BY_NC_4_0	Howard Friedman	Howard Friedman			2020-11-01T16:12:51.526Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2456573269	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35623664	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.213266	-78.10959	31451.0						2014-10-05T11:47:00	5	10	2014	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	35623664		osoandino	2019-11-12T22:27:56	CC_BY_NC_4_0	osoandino	osoandino			2020-11-01T15:56:16.877Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2422874983	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/30808882	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.227763	-78.091926	31451.0						2019-08-06T09:01:10	6	8	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	30808882		josiahclark	2019-08-14T13:57:19	CC_BY_NC_4_0	josiahclark	josiahclark			2020-11-01T15:56:25.603Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2422214812	1a58ec89-e5d4-4b2b-9ed3-1c8b5f70f4fc	MHNUCA:Mammal:1268	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque	(Roulin, 1829)	CO			PRESENT		f7f9717e-9e50-4a00-a30f-7b134390a566									2014-09-27T00:00:00	27	9	2014	2440899	2440899	PRESERVED_SPECIMEN	Universidad de Caldas (UCALDAS)	MHNUCa	MHNUCA:Mammal:1268	003 CHR			CC_BY_NC_4_0	Universidad de Caldas	Carlos Rodriguez			2020-10-07T10:59:50.462Z		
2350414354	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/30765550	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		CO		Risaralda	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.639366	-75.495341	31398.0						2019-08-09T00:00:00	9	8	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	30765550		Alexander Montoya	2019-08-13T18:45:51	CC_BY_NC_4_0	Alexander Montoya	Alexander Montoya			2020-11-01T16:12:22.583Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2273300356	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27665742	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.374536	-78.078499	31451.0						2014-11-30T14:56:00	30	11	2014	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	27665742		Robert Gowan	2019-06-26T00:02:32	CC_BY_NC_4_0	Robert Gowan	Robert Gowan			2020-11-01T16:12:48.323Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2242964769	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25032104	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.738437	-77.840065	31450.0						2019-04-20T18:43:00	20	4	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	25032104		David Weaver	2019-05-12T23:47:22	CC_BY_NC_4_0	David Weaver	David Weaver			2020-11-01T15:56:03.627Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2237441763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22724911	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		CO		Risaralda	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.654574	-75.435137	31398.0						2019-04-16T07:04:41	16	4	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	22724911		Julian Alzate	2019-04-19T21:31:22	CC_BY_4_0	Mateo Garcia Mejía	Mateo Garcia Mejía			2020-11-01T15:55:52.077Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2235616032	6cc9dd4a-27ea-4b6d-b835-69266124e1eb	4810578329600000	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque	(Roulin, 1829)	CO	Parque Nacional Natural Las Hermosas Gloria Valencia de Castaño		PRESENT		ab13adb9-ce23-444d-87c9-ce41f03ef2b3	3.753917	-75.698222			2586.0				2018-05-14T00:00:00	14	5	2018	2440899	2440899	HUMAN_OBSERVATION	Parques Nacionales Naturales de Colombia						CC_BY_NC_4_0	Parques Nacionales Naturales de Colombia				2020-09-01T14:37:40.315Z		COORDINATE_ROUNDED
2235616031	6cc9dd4a-27ea-4b6d-b835-69266124e1eb	5883701678309376	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque	(Roulin, 1829)	CO	Parque Nacional Natural Las Hermosas Gloria Valencia de Castaño		PRESENT		ab13adb9-ce23-444d-87c9-ce41f03ef2b3	3.636833	-75.926306			3276.0				2018-04-21T00:00:00	21	4	2018	2440899	2440899	HUMAN_OBSERVATION	Parques Nacionales Naturales de Colombia						CC_BY_NC_4_0	Parques Nacionales Naturales de Colombia				2020-09-01T14:37:40.314Z		COORDINATE_ROUNDED
2235616030	6cc9dd4a-27ea-4b6d-b835-69266124e1eb	5391120469065728	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque	(Roulin, 1829)	CO	Parque Nacional Natural Las Hermosas Gloria Valencia de Castaño		PRESENT		ab13adb9-ce23-444d-87c9-ce41f03ef2b3	3.843306	-75.851722			3747.0				2018-02-20T00:00:00	20	2	2018	2440899	2440899	HUMAN_OBSERVATION	Parques Nacionales Naturales de Colombia						CC_BY_NC_4_0	Parques Nacionales Naturales de Colombia				2020-09-01T14:37:40.315Z		COORDINATE_ROUNDED
